    # ccx tau_xx tau_yy tau_zz
0.0811753 -5.44392 0.00299508 0
0.0822227 -5.43325 0.000491865 0
0.0832701 -5.45477 0.00383436 0
0.0843175 -5.43401 0.000973585 2.41506e-20
0.0853649 -5.43703 0.00445929 0
0.0864124 -5.40417 0.00135212 0
0.0874598 -5.41488 0.00407274 2.4009e-20
0.0885072 -5.4218 0.000792072 0
0.0895546 -5.47084 0.00221283 2.39066e-20
0.0906021 -5.50813 -0.000825221 0
0.0916495 -5.53942 0.00106031 0
0.0926969 -5.5205 -0.0013715 -2.37386e-20
0.0937443 -5.46622 0.00189237 0
0.0947918 -5.38897 -0.00117184 2.36244e-20
0.0958392 -5.34735 0.00327039 0
0.0968866 -5.25406 -0.00263103 0
0.097934 -5.28728 0.00303772 0
0.0989814 -5.44686 -0.00320533 0
0.100029 -5.77482 0.000738251 0
0.101076 -5.68703 -0.0103878 2.32057e-20
0.102031 -6.09803 -0.00718012 0
0.102957 -7.47933 -0.0119866 0
0.104019 -9.57935 -0.000264302 2.70007e-18
0.105237 -12.198 0.011399 4.67954e-18
0.106633 -15.3967 0.0254402 0
0.108235 -18.6451 0.0364334 0
0.110071 -22.2874 0.0324887 0
0.112177 -17.8843 -0.0177389 0
0.114592 -3.13769 -0.0639227 0
0.117361 6.04992 -0.0379996 -7.29189e-18
0.120537 4.86013 -0.00623821 0
0.124179 0.373655 0.0108892 -1.13982e-17
0.128355 -2.76648 0.0105503 9.94131e-18
0.133144 -4.5947 0.0110251 0
0.138636 -5.47542 0.0117835 0
0.144934 -5.61458 0.0122086 0
0.152157 -5.3299 0.0130946 2.17698e-17
0.160439 -4.00819 0.00967822 -1.86517e-17
0.169937 -3.45333 0.0114369 0
0.180828 -2.00176 0.0102903 2.79114e-17
0.193319 -2.54149 0.0074183 0
0.207642 -1.27661 0.0338469 4.0108e-17
0.224067 8.83473 -0.0284858 0
0.242902 13.4624 -0.119091 0
0.264502 6.69315 -0.100582 0
0.289272 0.998572 -0.00812625 0
0.317677 -15.9219 0.272301 0
0.35025 -24.608 0.382781 8.55234e-17
0.387604 -16.645 0.151786 -4.52366e-17
0.43044 -11.3402 0.0450322 0
0.479563 -13.8966 0.106125 5.64315e-17
0.535894 -13.9631 0.132075 0
0.600493 -14.4617 0.163203 0
